PID,C_max,C_sum,D_max,D_sum,E_max,E_sum,O_max,O_sum,P_max,P_sum,CCC,CCD,CCO,CDC,CDD,CDO,COC,COD,COO,DCC,DCD,DCO,DDC,DDD,DDO,DOC,DOD,DOO,EEE,EEO,EOE,EOO,OCC,OCD,OCO,ODC,ODD,ODO,OEE,OOC,OOD,OOO,Labels
23848.0,0,0,0,0,,,55,55,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,53,0
23849.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23850.0,3,3,0,0,,,21,21,0,0,1,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,1,0,0,0,0,0,,1,0,19,0
23851.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
30001.0,0,0,0,0,,,102,219,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,217,0
30257.0,1,1,1,1,,,17,118,0,0,0,0,0,,0,0,0,0,1,0,,,,0,0,,0,1,,,,,0,0,1,0,0,1,,1,1,112,0
30523.0,0,0,0,0,,,1,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
30532.0,0,0,0,0,,,1,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
30574.0,0,0,0,0,,,2,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
30576.0,1,1,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
30585.0,6,11,0,0,,,8,31,0,0,0,0,0,,0,0,9,0,2,0,,,,0,0,,0,0,,,,,0,0,11,0,0,0,,2,0,16,0
30730.0,0,0,0,0,,,22,27,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,25,0
30737.0,0,0,0,0,,,1,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
30750.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
30752.0,0,0,0,0,,,4,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
30756.0,0,0,0,0,,,6,12,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,10,0
30764.0,0,0,0,0,,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
30775.0,0,0,0,0,,,10,20,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,18,0
30994.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
31031.0,0,0,0,0,,,1,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
31170.0,0,0,0,0,,,2,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
31174.0,0,0,0,0,,,5,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
31380.0,0,0,0,0,,,56,142,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,140,0
